bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
4. Arctic,herbaceous,beach,coastal,303,Coastal,FFEAC2,Beach,Arctic Herbaceous Coastal Dune & Beach,group,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
4. Arctic,herbaceous,tidal marsh,coastal,305,Coastal,7BFFE1,Dwarf Willow Salt Marsh,Arctic Coastal Dwarf Willow Graminoid,alliance,M403,Arctic Tidal Salt Marsh,G535,Arctic & Subarctic Coastal Salt Marsh
1. Temperate,herbaceous,tidal marsh,coastal,43,Coastal,00FFC5,Salt Marsh,Alaska Pacific Coastal Salt Marsh,group,M081,North American Pacific Coastal Salt Marsh,G499,Temperate Pacific Salt Marsh
4. Arctic,herbaceous,tidal marsh,coastal,306,Coastal,00FFC5,Salt Marsh,Arctic Coastal Salt Marsh,subgroup,M403,Arctic Tidal Salt Marsh,G535,Arctic & Subarctic Coastal Salt Marsh
4. Arctic,herbaceous,dune,none,281,Dune,FFA089,Dune,Arctic Herbaceous Inland Dune,alliance,M173,Arctic Dry-Moist Tundra,G863,Arctic Inland Dune
4. Arctic,shrub,dune,none,282,Dune,FFA089,Dune,Arctic Willow Inland Dune,alliance,M173,Arctic Dry-Moist Tundra,G863,Arctic Inland Dune
3. Boreal,various,dune,none,195,Dune,FFA089,Inland Dune,Alaska-Yukon Inland Dune,group,M537,North American Boreal Shrubland & Grassland,G374,Western Boreal Inland Dune
3. Boreal,herbaceous,steppe bluff,none,194,Dune,FFBFAF,Steppe Bluff,Alaska-Yukon Herbaceous Steppe Bluff,,M537,North American Boreal Shrubland & Grassland,G359,Western Boreal Dry Shrubland & Grassland
1. Temperate,dwarf shrub,mesic vegetation,alpine,53,Dwarf Shrub,3B5D8A,Dryas Dwarf,Alaska Pacific Alpine Dryas Dwarf Shrub,alliance,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
3. Boreal,dwarf shrub,mesic vegetation,none,171,Dwarf Shrub,3B5D8A,Dryas Dwarf,Alaska-Yukon Dryas-Ericaceous Dwarf Shrub,,M404,Western Boreal Alpine Tundra,G613,Western Boreal Alpine Dwarf-shrubland
4. Arctic,dwarf shrub,mesic vegetation,none,283,Dwarf Shrub,3B5D8A,Dryas Dwarf,Arctic Dryas (-Willow) Dwarf Shrub,subgroup,M173,Arctic Dry-Moist Tundra,G896,Arctic Dwarf-shrub Tundra
1. Temperate,dwarf shrub,mesic vegetation,alpine,54,Dwarf Shrub,68A9FF,Ericaceous Dwarf,Alaska Pacific Alpine Ericaceous Dwarf Shrub,subgroup,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
2. Northern Subpolar Oceanic,dwarf shrub,mesic vegetation,none,101,Dwarf Shrub,68A9FF,Ericaceous Dwarf,Aleutian-Kamchatka Ericaceous (-Willow) Dwarf Shrub Mesic,group,M539,"Aleutian-Kamchatka Maritime Heath, Shrub & Meadow",G362,Aleutian-Kamchatka Ericaceous Dwarf-shrubland
3. Boreal,dwarf shrub,mesic vegetation,none,174,Dwarf Shrub,68A9FF,Ericaceous Dwarf,Alaska-Yukon Ericaceous Dwarf Shrub,,M404,Western Boreal Alpine Tundra,G613,Western Boreal Alpine Dwarf-shrubland
4. Arctic,dwarf shrub,mesic vegetation,none,284,Dwarf Shrub,68A9FF,Ericaceous Dwarf,Arctic Ericaceous (-Dryas) Dwarf Shrub,subgroup,M173,Arctic Dry-Moist Tundra,G896,Arctic Dwarf-shrub Tundra
1. Temperate,dwarf shrub,mesic vegetation,alpine,55,Dwarf Shrub,457CC5,Willow Dwarf,Alaska Pacific Alpine Willow (-Dryas) Dwarf Shrub,alliance,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
3. Boreal,dwarf shrub,mesic vegetation,none,172,Dwarf Shrub,457CC5,Willow Dwarf,Alaska-Yukon Dryas-Willow Dwarf Shrub,,M404,Western Boreal Alpine Tundra,G613,Western Boreal Alpine Dwarf-shrubland
1. Temperate,herbaceous,peatland,minerotrophic,94,Fen,E7F3B2,Sedge Fen,"Alaska Pacific Sedge Peatland, Minerotrophic",subgroup,M560,North Pacific Alkaline Fen,G285,North Pacific Alkaline Open Fen
3. Boreal,herbaceous,peatland,minerotrophic,206,Fen,E7F3B2,Sedge Fen,"Alaska-Yukon Sedge Peatland, Minerotrophic",subgroup,M877,North American Boreal & Subboreal Alkaline Fen,G361,Western Boreal Alkaline Fen
4. Arctic,herbaceous,peatland,minerotrophic,263,Fen,E7F3B2,Sedge Fen,"Arctic Brown Moss-Sedge Peatland, Minerotrophic",alliance,M002ak,Arctic Permafrost Alkaline Fen,G0002ak,"Arctic Permafrost Peatland, Minerotrophic"
1. Temperate,shrub,peatland,minerotrophic,95,Fen,B6BF8C,Shrub-Sedge Fen,"Alaska Pacific Shrub-Sedge Peatland, Minerotrophic",subgroup,M560,North Pacific Alkaline Fen,G285,North Pacific Alkaline Open Fen
3. Boreal,shrub,peatland,minerotrophic,207,Fen,B6BF8C,Shrub-Sedge Fen,"Alaska-Yukon Shrub-Sedge Peatland, Minerotrophic",subgroup,M877,North American Boreal & Subboreal Alkaline Fen,G361,Western Boreal Alkaline Fen
4. Arctic,shrub,peatland,minerotrophic,264,Fen,B6BF8C,Shrub-Sedge Fen,"Arctic Shrub-Sedge Peatland, Minerotrophic",alliance,M002ak,Arctic Permafrost Alkaline Fen,G0002ak,"Arctic Permafrost Peatland, Minerotrophic"
1. Temperate,shrub,mesic vegetation,riverine,84,Floodplain,A898BE,Alder-Willow Floodplain,Alaska Pacific Alder-Willow Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
3. Boreal,shrub,mesic vegetation,riverine,221,Floodplain,A898BE,Alder-Willow Floodplain,Alaska-Yukon Alder-Willow Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
4. Arctic,shrub,mesic vegetation,riverine,311,Floodplain,A898BE,Alder-Willow Floodplain,Arctic Alder (-Willow) Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
3. Boreal,deciduous tree,mesic vegetation,riverine,213,Floodplain,935B79,Birch Floodplain,Birch (-White Spruce) Active Floodplain,,M300,North American Boreal Flooded & Rich Swamp Forest,G548,Alaska-Yukon Boreal Floodplain Forest
